ID,Time Spent On TV,Number Of Meals Per Day,Change In Weight,Health Issue During Lockdown,Stress Busters,Time Utilized,Connection Status,Activities Missed (Most),Age Group
307,1,2,Remain Constant,NO,Leisure and Entertainment,YES,YES,All Options,Pre-Teens
308,0,4,Remain Constant,NO,No stress,YES,NO,Personal Reflection,Pre-Teens
309,2,2,Remain Constant,YES,Gaming,NO,NO,Education,Pre-Teens
310,1,3,Increased,YES,Gaming,YES,NO,Dining and Entertainment,Young Adults
311,0,3,Remain Constant,NO,Leisure and Entertainment,YES,NO,Dining and Entertainment,Pre-Teens
312,0.1,3,Increased,NO,Sleeping,NO,YES,Social Interactions,Pre-Teens
313,2,4,Remain Constant,NO,Watching videos,NO,NO,Travel and Exploration,Young Adults
314,4,3,Remain Constant,NO,Communication with others,NO,YES,Travel and Exploration,Young Adults
315,1,4,Increased,NO,Leisure and Entertainment,YES,NO,Education,Young Adults
316,0,4,Increased,NO,Work,YES,YES,Social Interactions,Pre-Teens
317,0,3,Decreased,NO,Gaming,NO,NO,Dining and Entertainment,Pre-Teens
318,0.25,3,Remain Constant,NO,Sleeping,YES,NO,Education,Young Adults
319,1,4,Increased,NO,Reading books,YES,YES,Social Interactions,Children
320,2,2,Decreased,NO,Gaming,NO,YES,Travel and Exploration,Young Adults
321,0,4,Increased,NO,Reading books,NO,YES,Education,Young Adults
322,1,2,Decreased,NO,Many options,NO,NO,Travel and Exploration,Pre-Teens
323,1,3,Increased,NO,Leisure and Entertainment,YES,NO,Education,Young Adults
324,1,2,Increased,NO,Sleeping,NO,YES,Social Interactions,Young Adults
325,0,3,Increased,NO,Leisure and Entertainment,YES,YES,Education,Young Adults
326,0,4,Remain Constant,YES,Leisure and Entertainment,YES,NO,Travel and Exploration,Young Adults
327,4,3,Remain Constant,NO,Gaming,YES,NO,All Options,Young Adults
328,2,2,Remain Constant,NO,Gaming,NO,NO,Personal Reflection,Pre-Teens
329,1,3,Remain Constant,YES,Reading books,NO,YES,Dining and Entertainment,Young Adults
330,3,2,Remain Constant,NO,Social Media,YES,YES,Travel and Exploration,Pre-Teens
331,3,2,Increased,YES,Exercise,NO,NO,Social Interactions,Young Adults
332,1,3,Remain Constant,NO,Gaming,NO,NO,Personal Reflection,Pre-Teens
333,1,2,Increased,NO,Watching videos,NO,YES,All Options,Pre-Teens
